t_ms,x_g,y_g,z_g
140.718,0.99,-0.04,-0.01
141.309,0.98,-0.03,-0.0
141.899,0.99,-0.07,0.06
142.461,1.0,-0.05,-0.01
143.052,0.99,-0.07,-0.01
143.642,0.99,-0.04,0.07
144.204,1.0,-0.08,0.0
144.766,0.99,-0.04,0.0
145.328,0.99,-0.03,-0.0
145.904,1.0,-0.06,-0.02
146.494,0.99,-0.05,0.0
147.056,1.0,-0.01,0.0
147.618,1.0,-0.04,-0.0
148.209,1.0,-0.05,-0.01
148.799,0.99,-0.03,-0.0
149.318,0.99,-0.06,-0.01
149.895,0.99,-0.05,-0.03
150.431,0.97,-0.06,-0.01
151.021,0.99,-0.03,0.08
151.583,0.99,-0.04,-0.02
152.174,0.98,-0.03,-0.05
152.765,0.99,-0.06,-0.0
153.355,0.99,-0.05,0.03
153.917,0.99,-0.03,-0.03
154.507,0.98,-0.03,-0.04
155.098,0.98,-0.05,-0.0
155.688,1.01,-0.01,-0.02
156.279,0.99,-0.05,-0.03
156.869,0.99,-0.05,-0.01
157.460,0.99,-0.03,-0.01
158.050,1.0,-0.06,-0.01
158.641,0.99,-0.05,-0.03
159.193,1.0,-0.05,-0.0
159.784,0.99,-0.06,0.0
160.346,0.99,-0.05,0.03
160.908,0.98,-0.03,-0.05
161.498,0.99,-0.04,-0.01
162.089,1.0,-0.05,-0.01
162.679,0.99,-0.04,-0.0
163.270,1.0,-0.06,-0.0
163.860,0.99,-0.05,-0.0
164.451,1.0,-0.05,-0.03
165.041,0.99,-0.06,0.0
165.603,1.0,-0.07,0.0
166.165,1.0,-0.04,-0.03
166.756,0.99,-0.06,-0.01
167.347,0.99,-0.05,0.0
167.908,0.98,-0.02,0.0
168.470,1.0,-0.04,0.01
169.032,0.98,-0.03,-0.02
169.623,0.97,-0.03,-0.01
170.213,0.99,-0.06,-0.03
170.788,0.99,-0.05,-0.01
171.378,0.99,-0.04,0.08
171.940,1.0,-0.01,0.0
172.501,0.99,-0.04,-0.02
173.091,0.99,-0.03,-0.02
173.681,0.99,-0.03,0.0
174.242,1.0,-0.07,-0.01
174.833,0.99,-0.06,0.0
175.395,0.99,-0.01,-0.02
175.985,1.0,-0.05,0.02
176.547,0.98,-0.04,0.0
177.109,0.99,-0.04,-0.01
177.700,1.0,-0.06,-0.0
178.291,1.0,-0.07,-0.0
178.881,1.03,-0.06,0.01
179.443,0.96,-0.04,-0.02
180.033,1.0,-0.05,-0.01
180.624,1.0,-0.04,-0.04
181.214,1.0,-0.06,0.0
181.776,0.98,-0.03,-0.01
182.367,0.99,-0.04,-0.01
182.957,1.0,-0.04,-0.01
183.548,0.99,-0.04,-0.01
184.138,0.97,-0.03,-0.06
184.729,0.99,-0.06,0.05
185.291,0.99,-0.04,-0.02
185.881,0.99,-0.03,0.0
186.443,0.99,-0.06,0.08
187.005,0.98,-0.06,0.0
187.567,0.99,-0.05,0.01
188.128,0.99,-0.05,-0.0
188.719,1.0,-0.05,-0.03
189.309,0.99,-0.06,-0.0
189.900,0.99,-0.03,-0.04
190.490,0.99,-0.05,-0.0
191.081,1.0,-0.03,-0.02
191.671,1.0,-0.05,-0.02
192.262,1.0,-0.05,-0.01
192.853,0.98,-0.06,-0.02
193.443,0.99,-0.04,-0.02
194.033,1.0,-0.06,-0.03
194.624,1.0,-0.06,-0.02
195.198,1.0,-0.05,0.02
195.760,0.99,-0.04,0.09
196.322,0.96,-0.03,-0.0
196.913,0.99,-0.06,-0.0
197.503,0.99,-0.05,-0.0
198.094,0.99,-0.07,-0.03
198.684,0.99,-0.05,-0.02
199.274,0.97,-0.01,-0.01
199.864,0.99,-0.01,-0.02
200.455,1.0,-0.05,-0.03
201.045,1.0,-0.06,0.0
201.607,0.99,-0.03,-0.03
202.198,1.0,-0.05,-0.02
202.788,0.99,-0.01,-0.01
203.379,0.99,-0.05,-0.04
203.969,1.02,-0.01,0.05
204.531,0.99,-0.03,0.05
205.093,0.98,-0.03,0.05
205.655,0.99,-0.07,-0.02
206.246,1.0,-0.03,-0.03
206.836,0.99,-0.04,-0.01
207.426,0.99,-0.03,-0.02
208.016,1.0,-0.03,0.0
208.578,0.99,-0.05,-0.0
209.169,0.98,-0.05,0.01
209.731,1.0,-0.05,-0.01
210.321,0.99,-0.06,-0.03
210.912,1.0,-0.06,-0.04
211.502,1.02,-0.05,0.03
212.064,0.99,-0.04,0.05
212.626,0.99,-0.05,0.08
213.188,1.0,-0.04,0.0
213.750,0.99,-0.04,-0.0
214.341,0.95,-0.07,-0.02
214.931,0.98,-0.01,-0.0
215.522,0.99,-0.07,-0.02
216.112,1.0,-0.05,-0.03
216.703,0.99,-0.05,0.02
217.265,1.0,-0.04,-0.03
217.855,1.0,-0.04,0.0
218.417,0.99,-0.04,-0.0
219.008,1.0,-0.03,-0.03
219.545,1.0,-0.05,-0.02
220.136,0.98,-0.04,0.05
220.698,1.0,-0.05,-0.01
221.288,0.98,-0.01,-0.0
221.879,0.99,-0.06,-0.01
222.469,0.99,-0.04,0.02
223.031,0.96,-0.06,-0.0
223.622,0.99,-0.07,-0.01
224.212,0.99,-0.05,0.0
224.774,1.0,-0.06,-0.02
225.365,1.0,-0.03,-0.02
225.955,1.0,-0.06,-0.03
226.546,1.0,-0.07,-0.04
227.136,0.99,-0.06,-0.02
227.727,0.98,-0.05,-0.01
228.318,1.0,-0.07,-0.02
228.908,0.99,-0.05,0.01
229.470,0.99,-0.07,-0.01
230.060,0.99,-0.04,0.0
230.622,0.99,-0.05,0.04
231.183,0.99,-0.06,0.09
231.745,1.0,-0.04,0.0
232.307,1.0,-0.06,-0.02
232.898,0.99,-0.07,-0.01
233.488,0.98,-0.05,-0.0
234.079,0.99,-0.05,-0.04
234.669,1.0,-0.04,-0.01
235.260,1.0,-0.05,0.0
235.822,1.0,-0.04,0.01
236.384,1.0,-0.05,-0.0
236.974,0.99,-0.03,-0.01
237.564,0.99,-0.06,-0.02
238.154,1.03,-0.06,0.03
238.716,0.99,-0.07,0.07
239.278,0.96,-0.04,-0.01
239.869,1.01,-0.05,0.03
240.431,0.99,-0.04,-0.0
241.022,0.99,-0.04,-0.0
241.612,0.99,-0.06,-0.01
242.202,1.0,-0.03,-0.01
242.793,1.0,-0.06,0.01
243.355,0.99,-0.04,0.0
243.917,0.99,-0.01,-0.01
244.493,0.99,-0.05,-0.01
245.084,1.0,-0.05,-0.0
245.674,1.03,-0.05,-0.04
246.265,0.99,-0.06,0.05
246.827,0.99,-0.04,0.05
247.389,0.99,-0.05,0.01
247.951,0.99,-0.04,-0.01
248.541,0.99,-0.04,-0.02
249.132,1.02,-0.05,-0.03
249.722,0.99,-0.03,-0.03
250.241,0.99,-0.03,-0.0
250.829,0.99,-0.04,0.01
251.345,0.99,-0.05,-0.0
251.927,1.0,-0.04,0.01
252.489,0.99,-0.04,0.0
253.051,0.98,-0.07,0.01
253.613,1.0,-0.06,-0.0
254.203,0.99,-0.07,-0.0
254.794,1.0,-0.03,-0.01
255.384,0.99,-0.03,-0.0
255.975,0.99,-0.05,0.0
256.537,1.01,-0.06,-0.02
257.127,0.99,-0.06,0.05
257.652,0.97,-0.02,0.0
258.214,1.01,-0.05,-0.0
258.805,1.0,-0.04,-0.01
259.395,1.0,-0.06,-0.0
259.986,0.99,-0.04,-0.03
260.576,1.0,-0.03,-0.01
261.167,1.01,-0.05,-0.04
261.757,1.0,-0.05,0.01
262.318,0.98,-0.05,0.05
262.880,0.99,-0.04,-0.02
263.471,1.0,-0.07,-0.01
264.061,1.0,-0.05,-0.0
264.652,1.0,-0.05,-0.0
265.242,0.97,-0.07,-0.01
265.833,0.97,-0.05,-0.04
266.423,0.99,-0.07,-0.03
267.013,0.98,-0.03,-0.0
267.603,0.99,-0.05,-0.01
268.194,0.99,-0.05,-0.0
268.769,0.99,-0.04,-0.02
269.359,1.0,-0.06,-0.04
269.949,0.99,-0.03,-0.03
270.540,0.99,-0.04,0.0
271.102,0.99,-0.04,0.01
271.664,1.0,-0.07,-0.0
272.254,0.99,-0.05,-0.0
272.845,0.98,-0.03,-0.02
273.435,1.03,-0.03,0.06
273.997,0.99,-0.07,0.1
274.559,0.98,-0.03,-0.02
275.150,0.99,-0.06,-0.02
275.740,0.99,-0.04,0.01
276.302,0.99,-0.04,0.0
276.864,1.0,-0.01,-0.0
277.455,0.99,-0.04,-0.03
278.045,1.0,-0.04,-0.02
278.636,0.99,-0.05,-0.0
279.226,0.99,-0.05,-0.01
279.817,1.0,-0.05,0.0
280.379,0.99,-0.05,0.0
280.941,1.0,-0.07,-0.0
281.531,0.99,-0.04,0.09
282.093,0.99,-0.05,0.0
282.654,1.0,-0.07,0.02
283.216,1.0,-0.04,-0.0
283.807,0.99,-0.03,0.02
284.369,0.97,-0.03,-0.0
284.959,1.0,-0.05,-0.02
285.550,0.98,-0.04,0.0
286.112,1.0,-0.03,-0.02
286.702,0.99,-0.07,-0.01
287.293,0.99,-0.05,-0.01
287.883,1.02,-0.05,-0.03
288.474,0.99,-0.03,0.01
289.036,1.0,-0.03,-0.02
289.626,0.98,-0.06,-0.0
290.217,0.99,-0.06,0.0
290.779,0.99,-0.05,-0.01
291.369,1.0,-0.05,-0.01
291.960,0.98,-0.07,-0.02
292.550,1.0,-0.04,-0.02
293.141,0.99,-0.04,0.05
293.687,0.99,-0.04,-0.01
294.277,0.98,-0.04,-0.0
294.868,1.0,-0.06,-0.01
295.458,0.98,-0.06,-0.0
296.049,1.0,-0.04,-0.01
296.639,1.0,-0.05,-0.02
297.230,0.99,-0.06,-0.0
297.820,1.0,-0.05,-0.04
298.411,0.99,-0.03,0.05
298.973,0.99,-0.04,-0.0
299.563,0.99,-0.05,-0.01
300.154,0.99,-0.06,-0.02
300.744,0.99,-0.05,0.01
301.306,1.0,-0.05,-0.0
301.897,1.0,-0.07,0.0
302.459,1.0,-0.05,0.0
303.021,0.99,-0.07,-0.01
303.611,0.97,-0.03,-0.01
304.202,0.99,-0.05,0.01
304.764,1.0,-0.01,-0.0
305.354,1.0,-0.03,-0.0
305.945,1.0,-0.04,-0.03
306.535,1.0,-0.05,-0.01
307.126,0.98,-0.04,-0.0
307.716,0.99,-0.07,-0.02
308.307,1.0,-0.05,0.0
308.869,1.03,-0.04,0.01
309.431,1.01,-0.05,-0.01
310.021,0.99,-0.06,0.01
310.583,0.99,-0.03,-0.0
311.174,0.99,-0.04,0.0
311.764,0.97,-0.03,-0.03
312.355,1.0,-0.06,0.0
312.917,1.0,-0.04,0.0
313.479,1.0,-0.05,0.04
314.041,0.99,-0.03,-0.04
